name,category
Roasted Celery Pulao,vegetable
Creamy Onion Smoothie,vegetable
Crispy Eggplant Cake,vegetable
Golden Lettuce Soup,vegetable
Crispy Spinach Salsa,vegetable
Simple Cabbage Bread,vegetable
Grilled Tomato Bread,vegetable
Golden Pear Cutlet,fruit
Quick Coconut Cake,fruit
Baked Potato Bread,vegetable
Sweet Coconut Bake,fruit
Homestyle Asparagus Rice Bowl,vegetable
Buttery Grape Noodles,fruit
Healthy Bottle Gourd Kebab,vegetable
Homestyle Pomegranate Stew,fruit
Easy Capsicum Pulao,vegetable
Buttery Eggplant Pulao,vegetable
Easy Pumpkin Cake,vegetable
Creamy Zucchini Muffins,vegetable
Roasted Corn Salad,vegetable
Simple Potato Roast,vegetable
Herbed Raspberry Juice,fruit
Quick Tomato Juice,vegetable
Simple Dragon Fruit Kebab,fruit
Sweet Pumpkin Smoothie,vegetable
Homestyle Radish Rice Bowl,vegetable
Spicy Eggplant Sandwich,vegetable
Roasted Peach Sandwich,fruit
Roasted Capsicum Pulao,vegetable
Buttery Cauliflower Sandwich,vegetable
Easy Cherry Pasta,fruit
Crispy Tangerine Bake,fruit
Sweet Kale Gravy,vegetable
Simple Cherry Rice Bowl,fruit
Classic Green Beans Juice,vegetable
Traditional Broccoli Bread,vegetable
Crispy Plum Gravy,fruit
Tangy Mango Muffins,fruit
Fresh Potato Roast,vegetable
Fresh Eggplant Chutney,vegetable
Buttery Mushroom Noodles,vegetable
Rich Capsicum Pancakes,vegetable
Creamy Garlic Tart,vegetable
Spicy Celery Kebab,vegetable
Roasted Bottle Gourd Pulao,vegetable
Easy Leek Sandwich,vegetable
Homestyle Pineapple Smoothie,fruit
Classic Beetroot Pulao,vegetable
Golden Potato Pasta,vegetable
Rich Peas Stir Fry,vegetable
Roasted Pineapple Chutney,fruit
Rich Green Beans Smoothie,vegetable
Herbed Kiwi Cutlet,fruit
Crispy Cranberry Cake,fruit
Grilled Turnip Pulao,vegetable
Crispy Cabbage Roast,vegetable
Fresh Pomegranate Roll,fruit
Baked Blackberry Chutney,fruit
Rich Guava Bake,fruit
Roasted Cauliflower Muffins,vegetable
Healthy Passion Fruit Rice Bowl,fruit
Creamy Cranberry Bake,fruit
Buttery Radish Fries,vegetable
Traditional Melon Roast,fruit
Herbed Peach Smoothie,fruit
Easy Plum Noodles,fruit
Easy Beetroot Noodles,vegetable
Rich Plum Chutney,fruit
Quick Carrot Masala,vegetable
Quick Apricot Noodles,fruit
Easy Strawberry Bread,fruit
Crispy Apricot Masala,fruit
Rich Lime Gravy,fruit
Classic Lettuce Juice,vegetable
Classic Mango Pancakes,fruit
Homestyle Garlic Tart,vegetable
Buttery Carrot Stew,vegetable
Golden Bottle Gourd Smoothie,vegetable
Classic Leek Masala,vegetable
Easy Lemon Cake,fruit
Fresh Corn Pulao,vegetable
Homestyle Passion Fruit Stir Fry,fruit
Quick Apricot Pickle,fruit
Fresh Grape Salad,fruit
Roasted Banana Muffins,fruit
Herbed Dragon Fruit Fries,fruit
Quick Lemon Salad,fruit
Crispy Okra Stir Fry,vegetable
Golden Pomegranate Tart,fruit
Sweet Beetroot Pulao,vegetable
Tangy Fig Pie,fruit
Grilled Spinach Salad,vegetable
Herbed Grape Roll,fruit
Creamy Onion Wrap,vegetable
Golden Leek Smoothie,vegetable
Healthy Tomato Noodles,vegetable
Herbed Melon Smoothie,fruit
Crispy Cabbage Pie,vegetable
Classic Lychee Tart,fruit
Tangy Leek Curry,vegetable
Healthy Kiwi Juice,fruit
Classic Watermelon Roll,fruit
Easy Celery Chutney,vegetable
Rich Bitter Gourd Salad,vegetable
Baked Mushroom Tart,vegetable
Rich Strawberry Kebab,fruit
Classic Papaya Rice Bowl,fruit
Crispy Fig Bake,fruit
Healthy Mushroom Chutney,vegetable
Healthy Tomato Sandwich,vegetable
Baked Cherry Bake,fruit
Traditional Bottle Gourd Wrap,vegetable
Easy Pear Kebab,fruit
Crispy Corn Wrap,vegetable
Golden Leek Roast,vegetable
Fresh Watermelon Tart,fruit
Baked Okra Wrap,vegetable
Quick Blackberry Curry,fruit
Healthy Dragon Fruit Bake,fruit
Roasted Cucumber Pickle,vegetable
Grilled Broccoli Pancakes,vegetable
Classic Tomato Cutlet,vegetable
Tangy Lemon Pancakes,fruit
Tangy Apricot Roast,fruit
Grilled Blueberry Pulao,fruit
Sweet Pumpkin Sandwich,vegetable
Roasted Carrot Pulao,vegetable
Spicy Grape Fries,fruit
Easy Fig Bread,fruit
Spicy Mango Pie,fruit
Sweet Watermelon Salad,fruit
Fresh Peach Smoothie,fruit
Sweet Radish Chutney,vegetable
Herbed Lettuce Cake,vegetable
Simple Fig Kebab,fruit
Baked Bitter Gourd Cake,vegetable
Healthy Pear Bake,fruit
Fresh Grape Juice,fruit
Roasted Plum Tart,fruit
Creamy Spinach Pie,vegetable
Classic Grape Curry,fruit
Grilled Passion Fruit Cutlet,fruit
Creamy Blackberry Salsa,fruit
Healthy Broccoli Stir Fry,vegetable
Roasted Garlic Cake,vegetable
Crispy Garlic Tart,vegetable
Classic Celery Sandwich,vegetable
Simple Tangerine Pancakes,fruit
Herbed Green Beans Roast,vegetable
Grilled Bitter Gourd Bread,vegetable
Classic Bottle Gourd Muffins,vegetable
Golden Passion Fruit Masala,fruit
Golden Radish Pancakes,vegetable
Simple Sweet Potato Pie,vegetable
Creamy Cucumber Pancakes,vegetable
Grilled Pumpkin Salsa,vegetable
Buttery Guava Bread,fruit
Golden Leek Gravy,vegetable
Traditional Asparagus Masala,vegetable
Quick Fig Rice Bowl,fruit
Baked Bitter Gourd Juice,vegetable
Roasted Zucchini Pasta,vegetable
Baked Passion Fruit Bake,fruit
Easy Papaya Muffins,fruit
Rich Capsicum Wrap,vegetable
Buttery Capsicum Cutlet,vegetable
Herbed Kale Chutney,vegetable
Baked Kiwi Rice Bowl,fruit
Traditional Coconut Cake,fruit
Simple Cherry Curry,fruit
Sweet Cherry Gravy,fruit
Creamy Apple Stir Fry,fruit
Buttery Plum Curry,fruit
Simple Cucumber Wrap,vegetable
Crispy Lime Bake,fruit
Tangy Banana Cutlet,fruit
Golden Zucchini Juice,vegetable
Crispy Melon Stew,fruit
Rich Peach Gravy,fruit
Sweet Grape Soup,fruit
Fresh Potato Gravy,vegetable
Healthy Grape Stir Fry,fruit
Golden Lettuce Pancakes,vegetable
Herbed Guava Smoothie,fruit
Sweet Okra Gravy,vegetable
Tangy Bitter Gourd Pancakes,vegetable
Roasted Pomegranate Rice Bowl,fruit
Herbed Tangerine Bake,fruit
Baked Watermelon Salad,fruit
Sweet Lime Curry,fruit
Baked Dragon Fruit Salsa,fruit
Baked Cranberry Cake,fruit
Healthy Cranberry Bread,fruit
Herbed Pineapple Soup,fruit
Homestyle Sweet Potato Chutney,vegetable
Easy Mango Salsa,fruit
Grilled Cabbage Pancakes,vegetable
Roasted Orange Noodles,fruit
Creamy Raspberry Pulao,fruit
Quick Blueberry Soup,fruit
Crispy Corn Soup,vegetable
Healthy Lemon Tart,fruit
Homestyle Pomegranate Cake,fruit
